batch_id,case_id,input_sha256,opticstudio_version,api_license_valid,expected_min_y_mm,observed_min_y_mm,expected_max_y_mm,observed_max_y_mm,boundary_error_um,valid_rays,ray_error_count,ray_vignette_count,zos_file,zos_sha256,status,error_type,error_message
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p2p5_d100_x0_52a7aff55b","52a7aff55b0488216e7c8085b4365bad63ce6e26b3f5e4649df872ce913aca5d","24.1.0",true,-3.261358532934131,-3.2613585329341319,3.261358532934131,3.2613585329341319,8.8817841970012523E-13,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p2p5_d100_x0_52a7aff55b.zos","0ff9f5b5d16a066e86be8a21c27cc5364a2f40bd38c5a71036ceeb379788a61f",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p2p5_d110_x0_cfd7b110f4","cfd7b110f45c19c02e548b8d16cd712030ec8134d25fc89277a348362f084842","24.1.0",true,-3.4792009730538922,-3.4792009730538922,3.4792009730538922,3.4792009730538922,0,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p2p5_d110_x0_cfd7b110f4.zos","edb0e786df27551e454c3ca922d01c67859bc29e3e482030c45a9269b5b6c348",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p2p5_d120_x0_50033c0d5c","50033c0d5c112a997de0dc4fc808f74362f1f60a3c9c34cd83abee7a83cf8469","24.1.0",true,-3.6970434131736534,-3.6970434131736538,3.6970434131736534,3.6970434131736538,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p2p5_d120_x0_50033c0d5c.zos","286f772e3b32345a1e613398c9bcc6c74fbecb92f3b49df90fcb57563cb5acff",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3_d60_x0_69c9cee4f0","69c9cee4f0bded163f31989ce4bbe459181a48ef314a5304ccc1862c6f7ad8bd","24.1.0",true,-2.5679865269461075,-2.5679865269461066,2.5679865269461075,2.5679865269461066,8.8817841970012523E-13,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3_d60_x0_69c9cee4f0.zos","8784273d61ada16c514425d2335ca30336663f943bfc6d47afd3af80d7bc7f4e",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3_d70_x0_ccfe7c5273","ccfe7c5273a811f4c7f6f1de9ddab4cfb08e796c4be51e85f038f94b55786a5e","24.1.0",true,-2.8293974550898207,-2.8293974550898202,2.8293974550898207,2.8293974550898202,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3_d70_x0_ccfe7c5273.zos","630bf790b601439892c5b0f5784ce1d6d9ddb7aaa1f087fb88edb3ec5e72176e",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3_d80_x0_4cf7815d78","4cf7815d78da75c480c3a2372aa170a113c21091812818984957458ffb3d6486","24.1.0",true,-3.0908083832335329,-3.0908083832335334,3.0908083832335329,3.0908083832335334,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3_d80_x0_4cf7815d78.zos","3cffbcdfc0f46773488ff1960771b765eb60a26efefdef73b1da8e9983ef99ee",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3_d90_x0_02bae7857a","02bae7857a53553b192a01130a4283d85cc08eb0578c6eb00db6724e668175dc","24.1.0",true,-3.3522193113772452,-3.3522193113772465,3.3522193113772452,3.3522193113772465,1.3322676295501878E-12,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3_d90_x0_02bae7857a.zos","64fd06057ae17fb2d3b1e40b8d560d752f3f861f21f070a6acf614b3d29a05c5",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3_d100_x0_c8d6080e83","c8d6080e834abc22044c562c4cbbc8e15c08cbcc1c183ebef2f9e0682c048e02","24.1.0",true,-3.6136302395209583,-3.6136302395209601,3.6136302395209583,3.6136302395209601,1.7763568394002505E-12,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3_d100_x0_c8d6080e83.zos","401643bf2451823406f6175e622eac526678c8553c484e5a6c78f59811650f5f",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3_d110_x0_cd04fe16c9","cd04fe16c986e2f5cf23bd501b72570c956a0ffa0245fa0e3a5d99a644691ac6","24.1.0",true,-3.8750411676646705,-3.875041167664671,3.8750411676646705,3.875041167664671,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3_d110_x0_cd04fe16c9.zos","6c6dd783331fbbd2085c462c6672a5a4fa85b6547053951a022a9fd39d8fc697",OK,,
"eye-zemax-5742062fbe3fd0f3","chickm30m45d_baseline_f7p5_a11p7_p3_d120_x0_97f8fc26f2","97f8fc26f2d81cd55227fe88c6f39cca637e60f66f198fa3549f1c73d84cde55","24.1.0",true,-4.1364520958083837,-4.1364520958083837,4.1364520958083837,4.1364520958083837,0,4,0,0,"systems/chickm30m45d_baseline_f7p5_a11p7_p3_d120_x0_97f8fc26f2.zos","a5855549fda96dcd2af21ad02de6eaaa082dc3f1c97ce1664f68918e9db3be86",OK,,
