case_id,input_sha256,expected_min_y_mm,expected_max_y_mm,expected_valid_rays,boundary_tolerance_um
chickm30m45d_baseline_f8_a11p7_p2_d70_x0_47ad512c13,47ad512c13d476f0626f566d02b7f57ed9c7286549de66528ea13f756de29388,-2.5314932634730538,2.5314932634730538,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d80_x0_b8dafc6d03,b8dafc6d030d7b7ca2e80bb7cb3ce1a6b0fbfd4677d2c675f030c456af1172b7,-2.7057672155688621,2.7057672155688621,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d90_x0_f4adf1ab37,f4adf1ab379ca054aaab80abcb166aecc8a20487b2333227cac5a96bbe0b2706,-2.8800411676646709,2.8800411676646709,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d100_x0_7750209baf,7750209baf4854e44c2f45b38284ce27688d635c1a65c6467e0e267206499da5,-3.0543151197604788,3.0543151197604788,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d110_x0_30103ff2c1,30103ff2c1341520679fe4a98aab38c77ac2a12a489e6e366b892febd770b176,-3.2285890718562875,3.2285890718562875,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d120_x0_f3cfe9020b,f3cfe9020bba00e41f13388407f0c02eb41c4db12723446c940168be52ee94f4,-3.4028630239520958,3.4028630239520958,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2p5_d60_x0_ac620eadcd,ac620eadcdbf5e6d6c00ad95bc1166e8af79398c622dec3a177a4f906e66bf66,-2.5715241392215571,2.5715241392215571,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2p5_d70_x0_3bed0d890e,3bed0d890e97f8f6b056299533c224ac691a9fe5b6f0f5c45bf84c4386131056,-2.7893665793413174,2.7893665793413174,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2p5_d80_x0_5a0b9b13ad,5a0b9b13ad6b5d7ac529a9618025afe9cc397764709699d6f665c7aab0f844cb,-3.0072090194610777,3.0072090194610777,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2p5_d90_x0_db279f4b56,db279f4b56a6b1dbfa1ba39fd9d9cbb10ff79d6bfb8ef49a301d232898fd6a90,-3.2250514595808388,3.2250514595808388,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2p5_d100_x0_fd94012da4,fd94012da4d5a22b7ed7e8ec71cda0c2395e34a7d6a780b48eb7cd733b940ee1,-3.4428938997005991,3.4428938997005991,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2p5_d110_x0_cdab33c301,cdab33c30113d979729fa26592be4403d2a09de5985dd0a2a0408363bfccbe8c,-3.6607363398203594,3.6607363398203594,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2p5_d120_x0_e55a040912,e55a040912a954279e39c9a79651af0f15718bd70090f580e89e280525f15991,-3.8785787799401201,3.8785787799401201,4,0.00001
chickm30m45d_baseline_f8_a11p7_p3_d60_x0_ad54cc95fc,ad54cc95fcaffca104a5798e7b11ffc076a9d2660b6655a9c1d80ad7eb78fb9b,-2.7858289670658682,2.7858289670658682,4,0.00001
