case_id,eye_id,mode,wavelength_nm,source_demand_D,source_distance_mm,effective_focal_length_mm,axial_length_mm,image_index,reduced_retina_distance_mm,target_diameter_mm,pupil_diameter_mm,external_lens_power_D,external_lens_vertex_distance_mm,conservative_source_diameter_mm,source_mapping_coefficient,pupil_mapping_coefficient,input_sha256
chickm30m45d_baseline_f7p5_a11p7_p2_d60_x0_48566da0e7,chick_30_45d,baseline,650,60,16.666666666666668,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,7.0712250712250722,-0.52544910179640714,0.35778443113772451,48566da0e76b79e16bf692e25fb117b1f237734caafe296ee0a766d7a76c33a4
chickm30m45d_range_f7p83_a12p2_p2p7_d60_xm1_f5994493cc,chick_30_45d,range,650,60,16.666666666666668,7.8300000000000001,12.199999999999999,1.3359999999999999,9.1317365269461082,3,2.7000000000000002,-1,5,7.403948784624081,-0.54599321536299605,0.38611326048142552,f5994493cc710c20c077a4ecb61d107b4797b75bbae1f534ff53c90d9f6f5668
childm6y_range_f15p1_a23_p3_d80_x0_abb52b09d4,child_6y,range,650,80,12.5,15.1,23,1.3359999999999999,17.21556886227545,6,3,0,12,7.05133890008638,-1.3772455089820359,1.2371416108180988,abb52b09d4d0ac478d8bcfaa55c5bf32bab2caec7984a2ddba2ccb5e375f131a
adultm18y_range_f14p75_a23p6_p5_d60_xm3_c55d1e3b25,adult_18y,range,650,60,16.666666666666668,14.75,23.600000000000001,1.3359999999999999,17.664670658682638,6,5,-3,12,9.8464799999999961,-1.0493032626336118,0.86638871789132033,c55d1e3b25cc2aa7f8bb1ec754be7d3ac107e60e9ca7b4dd913c3d1649a29681
