case_id,input_sha256,expected_min_y_mm,expected_max_y_mm,expected_valid_rays,boundary_tolerance_um
chickm30m45d_baseline_f7p5_a11p7_p2_d60_x0_48566da0e7,48566da0e76b79e16bf692e25fb117b1f237734caafe296ee0a766d7a76c33a4,-2.2119910179640718,2.2119910179640718,4,0.00001
chickm30m45d_range_f7p83_a12p2_p2p7_d60_xm1_f5994493cc,f5994493cc710c20c077a4ecb61d107b4797b75bbae1f534ff53c90d9f6f5668,-2.5372932742833498,2.5372932742833498,4,0.00001
childm6y_range_f15p1_a23_p3_d80_x0_abb52b09d4,abb52b09d4d0ac478d8bcfaa55c5bf32bab2caec7984a2ddba2ccb5e375f131a,-6.6928677082920238,6.6928677082920238,4,0.00001
adultm18y_range_f14p75_a23p6_p5_d60_xm3_c55d1e3b25,c55d1e3b25cc2aa7f8bb1ec754be7d3ac107e60e9ca7b4dd913c3d1649a29681,-7.3102838715093181,7.3102838715093181,4,0.00001
