batch_id,case_id,input_sha256,opticstudio_version,api_license_valid,expected_min_y_mm,observed_min_y_mm,expected_max_y_mm,observed_max_y_mm,boundary_error_um,valid_rays,ray_error_count,ray_vignette_count,zos_file,zos_sha256,status,error_type,error_message
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8_a11p7_p2_d90_x0_f4adf1ab37","f4adf1ab379ca054aaab80abcb166aecc8a20487b2333227cac5a96bbe0b2706","24.1.0",true,-2.8800411676646709,-2.8800411676646709,2.8800411676646709,2.8800411676646709,0,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d90_x0_f4adf1ab37.zos","a82a0937376d2a189aec3112939163b06face6497f6199e7ca96662756eac41b",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8_a11p7_p2_d100_x0_7750209baf","7750209baf4854e44c2f45b38284ce27688d635c1a65c6467e0e267206499da5","24.1.0",true,-3.0543151197604788,-3.0543151197604792,3.0543151197604788,3.0543151197604792,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d100_x0_7750209baf.zos","ac586219045d3eb90e349dc6b8ca64421a3126570d43412584306c8d969c716f",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8_a11p7_p2_d110_x0_30103ff2c1","30103ff2c1341520679fe4a98aab38c77ac2a12a489e6e366b892febd770b176","24.1.0",true,-3.2285890718562875,-3.2285890718562875,3.2285890718562875,3.2285890718562875,0,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d110_x0_30103ff2c1.zos","3840f1877d16fe28526373bf5a73fb4f17bbe0a4c7d0c95bea427483923cc439",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8_a11p7_p2_d120_x0_f3cfe9020b","f3cfe9020bba00e41f13388407f0c02eb41c4db12723446c940168be52ee94f4","24.1.0",true,-3.4028630239520958,-3.4028630239520954,3.4028630239520958,3.4028630239520954,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f8_a11p7_p2_d120_x0_f3cfe9020b.zos","92f26d13c46b12224f11cb15b639511bf47ea1545c1ccb80e90cb6c2601085a1",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8p5_a11p7_p2_d60_x0_a8182e75a4","a8182e75a483ad0376c066752facd8bd4b18adc2b60dc5baa0a429bbe6b6a3c1","24.1.0",true,-2.4853619232123987,-2.4853619232123982,2.4853619232123987,2.4853619232123982,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f8p5_a11p7_p2_d60_x0_a8182e75a4.zos","05e6a263d96ae5053c1ce79f65c71a4c85324746a347f60784a047d638a0b499",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8p5_a11p7_p2_d70_x0_1b5c771e61","1b5c771e61689cd0f170477f8cc3f133648f6bfb3b3f62d34a8be6230f2bc370","24.1.0",true,-2.659635875308207,-2.6596358753082079,2.659635875308207,2.6596358753082079,8.8817841970012523E-13,4,0,0,"systems/chickm30m45d_baseline_f8p5_a11p7_p2_d70_x0_1b5c771e61.zos","297c34b511e5a0a32098a5e40cd34bfe8de9165fc11daeab5e08caf664810623",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8p5_a11p7_p2_d80_x0_a7fd0b1519","a7fd0b15196113d7296dac290f38f823d0ac080b6a3c96b7510f1940816ee46f","24.1.0",true,-2.8339098274040153,-2.8339098274040166,2.8339098274040153,2.8339098274040166,1.3322676295501878E-12,4,0,0,"systems/chickm30m45d_baseline_f8p5_a11p7_p2_d80_x0_a7fd0b1519.zos","59ff92833519e5b1b8a8c1f490de2f0b107712e463d69851b93b46ab789074aa",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8p5_a11p7_p2_d90_x0_c6481c3468","c6481c346803fa210633bdeacae2cd988001167034611c0df4480d843f5f09a1","24.1.0",true,-3.0081837794998241,-3.0081837794998245,3.0081837794998241,3.0081837794998245,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f8p5_a11p7_p2_d90_x0_c6481c3468.zos","fee519f94f62edc9fd86cbe732506f7677a0c942384a1a02b4d61793fd648aec",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8p5_a11p7_p2_d100_x0_ed386ce771","ed386ce771f5444f294355182108d81169eda63f7659eb6acb008a1dfcc27710","24.1.0",true,-3.1824577315956324,-3.1824577315956328,3.1824577315956324,3.1824577315956328,4.4408920985006262E-13,4,0,0,"systems/chickm30m45d_baseline_f8p5_a11p7_p2_d100_x0_ed386ce771.zos","2837a7e1730a20ab4048357a5bed17e0b35767d0a7e28803ff6c4cecf94a376d",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8p5_a11p7_p2_d110_x0_b58a960ba3","b58a960ba3b81244f700dd0f294666c366ce377f4771fd0810d4d7bda87ab342","24.1.0",true,-3.3567316836914407,-3.3567316836914407,3.3567316836914407,3.3567316836914407,0,4,0,0,"systems/chickm30m45d_baseline_f8p5_a11p7_p2_d110_x0_b58a960ba3.zos","ad56bb279b3797ac1151c250ab2bbd70df8b487250cd6ec25984e83ca29fdba2",OK,,
"eye-zemax-2a8b5f0189c5e6e8","chickm30m45d_baseline_f8p5_a11p7_p2_d120_x0_a86072db34","a86072db34e43d44f348c90c8de3f310fb8fc39fa9326bd64678afa86ed633c3","24.1.0",true,-3.531005635787249,-3.531005635787249,3.531005635787249,3.531005635787249,0,4,0,0,"systems/chickm30m45d_baseline_f8p5_a11p7_p2_d120_x0_a86072db34.zos","915b50dde15c4a016361d547091f523847e0e2345b226599146d5b3b523a588c",OK,,
