eye_id,eye_label,source_demand_D,source_distance_mm,posterior_pole_diameter_mm,reported_axial_length_mm,image_medium_refractive_index,external_lens_D,sweep_role,fixed_focal_length_mm,fixed_eye_power_D,pupil_diameter_mm,reduced_retina_distance_mm,focus_object_demand_D,retinal_defocus_D,source_mapping_coefficient,pupil_mapping_coefficient,pupil_blur_diameter_mm,geometric_min_source_diameter_mm,geometric_min_source_area_mm2,conservative_source_diameter_mm,conservative_source_area_mm2,geometric_coverage_margin_um,conservative_plateau_margin_um,pupil_blur_alone_covers_target,maximum_source_pupil_ray_angle_deg,small_angle_linearization_error_percent,working_f_number,paraxial_screening_angle_limit_deg,paraxial_screening_min_f_number,paraxial_screening_pass,model_domain,real_experiment_readiness
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,2.5,8.75748503,19.14529915,100.8547009,-1.050898204,0.8832335329,2.208083832,0.7535612536,0.4459919308,4.955840456,19.28965741,0,2.168404345e-13,False,24.10137546,6.347836847,3,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3,8.75748503,19.14529915,40.85470085,-0.5254491018,0.3577844311,1.073353293,3.666666667,10.55924197,7.752136752,47.19899289,0,2.168404345e-13,False,17.8778381,3.376938489,2.5,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3,8.75748503,19.14529915,50.85470085,-0.6130239521,0.4453592814,1.336077844,2.714285714,5.786300755,7.073260073,39.29426185,0,0,False,19.42082095,4.014321198,2.5,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3,8.75748503,19.14529915,60.85470085,-0.7005988024,0.5329341317,1.598802395,2,3.141592654,6.564102564,33.84079818,0,0,False,20.93505651,4.701453571,2.5,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3,8.75748503,19.14529915,70.85470085,-0.7881736527,0.620508982,1.861526946,1.444444444,1.638670242,6.168091168,29.88074696,0,-2.168404345e-13,False,22.41928614,5.436817693,2.5,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3,8.75748503,19.14529915,80.85470085,-0.875748503,0.7080838323,2.124251497,1,0.7853981634,5.851282051,26.89007091,0,2.168404345e-13,False,23.8724614,6.218855351,2.5,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,110,9.090909091,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3,8.75748503,19.14529915,90.85470085,-0.9633233533,0.7956586826,2.386976048,0.6363636364,0.3180538017,5.592074592,24.56042021,0,0,False,25.2937368,7.045980747,2.5,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3,8.75748503,19.14529915,100.8547009,-1.050898204,0.8832335329,2.649700599,0.3333333333,0.0872664626,5.376068376,22.69966504,0,2.168404345e-13,False,26.6824604,7.916592336,2.5,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,40.85470085,-0.5254491018,0.3577844311,1.252245509,3.326210826,8.689392743,8.092592593,51.43576882,0,0,False,19.17653881,3.909256393,2.142857143,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,50.85470085,-0.6130239521,0.4453592814,1.558757485,2.351037851,4.341193297,7.436507937,43.43381457,0,-2.168404345e-13,False,20.94573541,4.706522494,2.142857143,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,60.85470085,-0.7005988024,0.5329341317,1.865269461,1.61965812,2.060329052,6.944444444,37.87606884,0,2.168404345e-13,False,22.67408807,5.569420787,2.142857143,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,70.85470085,-0.7881736527,0.620508982,2.171781437,1.050807217,0.8672333599,6.561728395,33.81632287,0,0,False,24.35996103,6.49547302,2.142857143,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,80.85470085,-0.875748503,0.7080838323,2.478293413,0.5957264957,0.2787299995,6.255555556,30.73418154,0,-2.168404345e-13,False,26.00209156,7.482153672,2.142857143,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,110,9.090909091,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,90.85470085,-0.9633233533,0.7956586826,2.784805389,0.2233877234,0.03919299802,6.005050505,28.3219538,0,-2.168404345e-13,False,27.59956854,8.526914996,2.142857143,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,100.8547009,-1.050898204,0.8832335329,3.091317365,0,0,5.796296296,26.38706196,45.65868263,2.168404345e-13,True,29.15180702,9.627209544,2.142857143,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2,8.75748503,10.81196581,49.18803419,-0.5254491018,0.4307634731,0.8615269461,4.06980057,13.00876708,7.349002849,42.4176606,0,0,False,15.66721922,2.5692687,4,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
