eye_id,eye_label,reference_focal_length_mm,pupil_diameter_mm,defocus_D,blur_diameter_mm,geometric_min_angular_diameter_deg,uniform_conservative_angular_diameter_deg
adult_18y,18-year-old adult,16.7,2,0,0,19.46114274,19.46114274
adult_18y,18-year-old adult,16.7,2,2,0.07065868263,19.23195962,19.69032585
adult_18y,18-year-old adult,16.7,2,5,0.1766467066,18.88818494,20.03410053
adult_18y,18-year-old adult,16.7,2,10,0.3532934132,18.31522715,20.60705833
adult_18y,18-year-old adult,16.7,2,15,0.5299401198,17.74226935,21.18001612
adult_18y,18-year-old adult,16.7,2,20,0.7065868263,17.16931156,21.75297392
adult_18y,18-year-old adult,16.7,3,-10,0.5299401198,17.74226935,21.18001612
adult_18y,18-year-old adult,16.7,3,-5,0.2649700599,18.60170604,20.32057943
adult_18y,18-year-old adult,16.7,3,0,0,19.46114274,19.46114274
adult_18y,18-year-old adult,16.7,3,2,0.105988024,19.11736806,19.80491741
adult_18y,18-year-old adult,16.7,3,5,0.2649700599,18.60170604,20.32057943
adult_18y,18-year-old adult,16.7,3,10,0.5299401198,17.74226935,21.18001612
adult_18y,18-year-old adult,16.7,3,15,0.7949101796,16.88283266,22.03945281
adult_18y,18-year-old adult,16.7,3,20,1.05988024,16.02339597,22.89888951
adult_18y,18-year-old adult,16.7,4,-10,0.7065868263,17.16931156,21.75297392
adult_18y,18-year-old adult,16.7,4,-5,0.3532934132,18.31522715,20.60705833
adult_18y,18-year-old adult,16.7,4,0,0,19.46114274,19.46114274
adult_18y,18-year-old adult,16.7,4,2,0.1413173653,19.0027765,19.91950897
adult_18y,18-year-old adult,16.7,4,5,0.3532934132,18.31522715,20.60705833
adult_18y,18-year-old adult,16.7,4,10,0.7065868263,17.16931156,21.75297392
adult_18y,18-year-old adult,16.7,4,15,1.05988024,16.02339597,22.89888951
adult_18y,18-year-old adult,16.7,4,20,1.413173653,14.87748038,24.0448051
adult_18y,18-year-old adult,16.7,5,-10,0.8832335329,16.59635376,22.32593171
adult_18y,18-year-old adult,16.7,5,-5,0.4416167665,18.02874825,20.89353722
adult_18y,18-year-old adult,16.7,5,0,0,19.46114274,19.46114274
adult_18y,18-year-old adult,16.7,5,2,0.1766467066,18.88818494,20.03410053
adult_18y,18-year-old adult,16.7,5,5,0.4416167665,18.02874825,20.89353722
adult_18y,18-year-old adult,16.7,5,10,0.8832335329,16.59635376,22.32593171
adult_18y,18-year-old adult,16.7,5,15,1.324850299,15.16395927,23.7583262
adult_18y,18-year-old adult,16.7,5,20,1.766467066,13.73156478,25.19072069
